Argument ID,text_raw,text_clean,split,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity
A01002,Deberíamos prohibir la clonación humana [SEP] a favor [SEP] debemos prohibir la clonación humana ya que esto solo causará problemas enormes si tienes una multitud de seres humanos idénticos corriendo por ahí actuando todos igual.,deberíamos prohibir la clonación humana debemos prohibir la clonación humana ya que esto solo causará problemas enormes si tienes una multitud de seres humanos idénticos corriendo por ahí actuando todos igual,train,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A01009,Debemos luchar por la abolición de las armas nucleares. [SEP] en contra [SEP] las armas nucleares ayudan a mantener la paz en tiempos inciertos,debemos luchar por la abolición de las armas nucleares las armas nucleares ayudan a mantener la paz en tiempos inciertos,train,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
A01010,Deberíamos prohibir la oración en la escuela [SEP] en contra [SEP] debería estar permitido si el estudiante quiere rezar siempre que no interfiera con sus clases,deberíamos prohibir la oración en la escuela debería estar permitido si el estudiante quiere rezar siempre que no interfiera con sus clases,train,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A01011,Deberíamos abrogar las leyes de tres condenas. [SEP] a favor [SEP] las leyes de tres delitos pueden causar que las personas jóvenes sean enviadas a prisión por el resto de sus vidas sin la oportunidad de enderezar sus vidas,deberíamos abrogar las leyes de tres condenas las leyes de tres delitos pueden causar que las personas jóvenes sean enviadas a prisión por el resto de sus vidas sin la oportunidad de enderezar sus vidas,train,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
A01014,Debemos adoptar un régimen de austeridad [SEP] en contra [SEP] la adopción de un régimen de austeridad tendrá un impacto muy negativo en los más pobres y vulnerables de la sociedad.,debemos adoptar un régimen de austeridad la adopción de un régimen de austeridad tendrá un impacto muy negativo en los más pobres y vulnerables de la sociedad,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A01019,"Deberíamos prohibir la agricultura工厂农场的西班牙语翻译似乎出现了一些偏差，正确的翻译应该是：

Deberíamos prohibir la granja industrial [SEP] a favor [SEP] La granja industrial corta demasios corners en términos de salud y seguridad comparada con las pequeñas granjas familiares, lo que lleva a productos potencialmente inseguros e insalubres.",deberíamos prohibir la agricultura deberíamos prohibir la granja industrial la granja industrial corta demasios corners en términos de salud y seguridad comparada con las pequeñas granjas familiares lo que lleva a productos potencialmente inseguros e insalubres,train,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
A02003,Deberíamos cancelar las parades de orgullo [SEP] en contra [SEP] hay desfiles para todos los grupos y es discriminación no dar un desfile a los gays,deberíamos cancelar las parades de orgullo hay desfiles para todos los grupos y es discriminación no dar un desfile a los gays,train,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
A02004,"Se debería prohibir la cirugía estética para menores de edad. [SEP] a favor [SEP] los niños no han crecido y realmente no han formado sus rasgos adultos. la cirugía cosmética para un niño debe estar prohibida hasta que, como adultos, puedan tomar una decisión informada sobre sus cuerpos, no una caprichosa decisión de un niño.",se debería prohibir la cirugía estética para menores de edad los niños no han crecido y realmente no han formado sus rasgos adultos la cirugía cosmética para un niño debe estar prohibida hasta que como adultos puedan tomar una decisión informada sobre sus cuerpos no una caprichosa decisión de un niño,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
A02006,Debemos subvencionar la investigación con células madre embrionarias. [SEP] a favor [SEP] la investigación con células madre embrionarias debe ser subvencionada porque puede llevar al desarrollo de tratamientos para numerosas condiciones médicas graves.,debemos subvencionar la investigación con células madre embrionarias la investigación con células madre embrionarias debe ser subvencionada porque puede llevar al desarrollo de tratamientos para numerosas condiciones médicas graves,train,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A02007,Deberíamos prohibir el comercio algorítmico. [SEP] a favor [SEP] los algoritmos pueden no ser 100% precisos y reflejar la situación en el mercado real.,deberíamos prohibir el comercio algorítmico los algoritmos pueden no ser precisos y reflejar la situación en el mercado real,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A02008,"Debemos legalizar el comercio de órganos. [SEP] a favor [SEP] Deberíamos legalizar el comercio de órganos porque actualmente las personas son castigadas por acatar la ley y no comprar órganos, en forma de esperas más largas.",debemos legalizar el comercio de órganos deberíamos legalizar el comercio de órganos porque actualmente las personas son castigadas por acatar la ley y no comprar órganos en forma de esperas más largas,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
A02010,"Debemos legalizar el cannabis [SEP] en contra [SEP] si empiezas a legalizar drogas, podría abrir las compuertas para una mayor legalización de drogas peligrosas.",debemos legalizar el cannabis si empiezas a legalizar drogas podría abrir las compuertas para una mayor legalización de drogas peligrosas,train,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A02011,Debemos luchar por la abolición de las armas nucleares. [SEP] a favor [SEP] Las armas nucleares representan una amenaza demasiado grave para nuestro mundo. Debemos abolicirlas ahora.,debemos luchar por la abolición de las armas nucleares las armas nucleares representan una amenaza demasiado grave para nuestro mundo debemos abolicirlas ahora,train,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
A02013,Deberíamos prohibir la oración en la escuela. [SEP] a favor [SEP] la oración escolar no puede tener en cuenta el abanico de creencias o no creencias que los estudiantes puedan tener.,deberíamos prohibir la oración en la escuela la oración escolar no puede tener en cuenta el abanico de creencias o no creencias que los estudiantes puedan tener,train,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
A02014,"Deberíamos abolir el derecho a tener y portar armas. [SEP] en contra [SEP] no deberíamos abolir el derecho de tener y portar armas, ya que todos tienen el derecho de mantener armas como medio de protección, tal como está establecido en la constitución.",deberíamos abolir el derecho a tener y portar armas no deberíamos abolir el derecho de tener y portar armas ya que todos tienen el derecho de mantener armas como medio de protección tal como está establecido en la constitución,train,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
A02015,Deberíamos prohibir la Iglesia de Scientology [SEP] a favor [SEP] son nada más una secta y manipulan a sus miembros,deberíamos prohibir la iglesia de scientology son nada más una secta y manipulan a sus miembros,train,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A02016,"Debemos legalizar el comercio de órganos [SEP] a favor [SEP] necesitamos más órganos de los que las personas donan, así que legalizarlo sería una buena cosa.",debemos legalizar el comercio de órganos necesitamos más órganos de los que las personas donan así que legalizarlo sería una buena cosa,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A02019,"Deberíamos prohibir la oración en la escuela. [SEP] a favor [SEP] La oración en la escuela es divisiva y obliga a los niños a apoyar la religión sin cuestionamientos o ser tratados como diferentes si no desean participar, lo que marca a las personas por sus diferencias desde una edad temprana.",deberíamos prohibir la oración en la escuela la oración en la escuela es divisiva y obliga a los niños a apoyar la religión sin cuestionamientos o ser tratados como diferentes si no desean participar lo que marca a las personas por sus diferencias desde una edad temprana,train,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
A03001,"Deberíamos introducir el voto obligatorio. [SEP] a favor [SEP] donde existe el voto obligatorio, en países como Australia, las tasas de participación son las más altas del mundo. esto inevitablemente conduce a una democracia más verdaderamente representativa.",deberíamos introducir el voto obligatorio donde existe el voto obligatorio en países como australia las tasas de participación son las más altas del mundo esto inevitablemente conduce a una democracia más verdaderamente representativa,train,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A03002,Deberíamos legalizar la prostitución [SEP] en contra [SEP] legalizar la prostitución将进一步贬低一个人的价值并导致不必要的暴力。对不起，让我重新翻译以更自然的方式表达：legalizar la prostitución desvaloriza aún más a una mujer o a un hombre y conlleva violencias innecesarias.,deberíamos legalizar la prostitución legalizar la prostitución legalizar la prostitución desvaloriza aún más a una mujer o a un hombre y conlleva violencias innecesarias,train,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A03003,"Deberíamos prohibir la Iglesia de Scientology [SEP] a favor [SEP] hay cuestiones sobre su legitimidad y si se trata de una secta, así como el hecho de que los miembros tienen que pagar más para ascender a niveles superiores, lo que lleva a algunos a enfrentarse a problemas financieros debido a esto.",deberíamos prohibir la iglesia de scientology hay cuestiones sobre su legitimidad y si se trata de una secta así como el hecho de que los miembros tienen que pagar más para ascender a niveles superiores lo que lleva a algunos a enfrentarse a problemas financieros debido a esto,train,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
A03004,Deberíamos abrogar las leyes de tres condenas. [SEP] en contra [SEP] esta ley mantiene seguras las comunidades evitando que los criminales actúen con impunidad recibiendo solo ligeros castigos.,deberíamos abrogar las leyes de tres condenas esta ley mantiene seguras las comunidades evitando que los criminales actúen con impunidad recibiendo solo ligeros castigos,train,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
A03006,Debemos legalizar el cannabis [SEP] a favor [SEP] el cannabis se ha demostrado que es más seguro que el alcohol y menos adictivo. no hay una razón real para mantenerlo como sustancia ilegal.,debemos legalizar el cannabis el cannabis se ha demostrado que es más seguro que el alcohol y menos adictivo no hay una razón real para mantenerlo como sustancia ilegal,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
